cluster_index	bone_name	parent_name	x	y	z	weight_count
98	r_upleg_twist1_proc	r_upleg	-9.4562315696617212	80.156506004628511	-0.072968767556078173	677
99	r_upleg_twist2_proc	r_upleg	-10.707813214091509	69.754895454043094	-0.67850962573791929	460
100	r_upleg_twist3_proc	r_upleg	-11.959394858521295	59.353284903457677	-1.2840504839197604	345
101	r_upleg_twist4_proc	r_upleg	-13.210976502951084	48.95167435287226	-1.8895913421016015	382
102	c_spine0	root	2.3428209225466413e-15	94.420692920684814	-3.2535676956176758	990
103	c_spine1	c_spine0	-7.3197432103988129e-15	105.46187867206461	-2.1497599170943404	682
104	c_spine2	c_spine1	-1.4668225613423251e-14	116.39864076576571	-4.7450586123610066	1213
105	c_spine3	c_spine2	-2.6909938790429931e-14	134.83170373192496	-3.7130086094787043	1463
106	r_clavicle	c_spine3	-2.8217799663544025	140.55099961434664	6.3561827051683366	992
107	r_uparm	r_clavicle	-17.586102351661847	141.9399986274893	-3.215974800552404	0
108	r_lowarm	r_uparm	-34.789700445482609	122.92299674804934	-1.8524444321138724	0
109	r_wrist_twist	r_lowarm	-53.986413194990824	111.33133639692822	13.184833676438521	545
110	r_wrist	r_wrist_twist	-53.986413194990824	111.33133639692822	13.184833676438521	1044
111	r_pinky0	r_wrist	-55.563035821704247	108.57005275010964	12.618498346596034	337
112	r_pinky1	r_pinky0	-58.613078487095223	105.5866744547447	14.242202621141502	344
113	r_pinky2	r_pinky1	-60.533695914197537	103.49199028279894	15.409604891128604	278
114	r_pinky3	r_pinky2	-61.849095614399893	102.06598990682934	16.009804844670004	242
115	r_pinky_null	r_pinky3	-63.243195386011948	100.78098948610973	16.762504808598532	179
116	r_ring1	r_wrist	-59.027296633872311	106.33199071301836	16.253504935487321	384
117	r_ring2	r_ring1	-61.557296046940067	103.76199013329686	17.736604873238019	297
118	r_ring3	r_ring2	-63.261195593094811	101.98498978995777	18.737704803546034	245
119	r_ring_null	r_ring3	-64.744795297945174	100.62898942007385	19.669504778750429	186
120	r_middle1	r_wrist	-58.923596815635236	107.08999071187436	18.187504927016345	416
121	r_middle2	r_middle1	-61.550396231308682	104.47599002950255	20.35390473779405	302
122	r_middle3	r_middle2	-63.251995935683212	102.79698950829665	21.723104681189735	252
123	r_middle_null	r_middle3	-65.000895684304481	101.67798902964567	22.821404592936098	184
124	r_index1	r_wrist	-57.72359648834378	107.61099135579241	19.998804711908484	351
125	r_index2	r_index1	-60.008196078509535	105.44199071718049	22.11050463339539	286
126	r_index3	r_index2	-61.47549578089869	104.02699033715605	23.434404557588824	242
